song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
Boy's a liar Pt. 2,PinkPantheress,0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131013
Flowers,Miley Cyrus,0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455
Kill Bill,SZA,0.644,0.735,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,1Qrg8KqiBpW07V7PNxwwwL,153947
Escapism.,RAYE,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,5Z2MiIZ5I3jJvvmeWMLbOQ,272373
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,2dHHgzDwk4BJdRwy9uXhTO,221520
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,4nrPB8O7Y7wsOCJdgXkthe,218289
Calm Down (with Selena Gomez),Rema,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,0WtM2NBVQNNJLh6scP13H8,239318
As It Was,Harry Styles,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303
CUFF IT,Beyoncé,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389
Unholy (feat. Kim Petras),Sam Smith,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156943
golden hour,JVKE,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,5odlY52u43F5BjByhxg7wg,209260
Love Again,The Kid LAROI,0.662,0.398,-6.691,0.0275,0.716,0.0,0.111,0.468,107.001,4sx6NRwL6Ol3V6m9exwGlQ,145850
Anti-Hero,Taylor Swift,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,0V3wPSX9ygBnCm8psDIegu,200690
I'm Good (Blue),David Guetta,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
Players,Coi Leray,0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,6UN73IYd0hZxLi8wFPMQij,139560
Just Wanna Rock,Lil Uzi Vert,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891
LET GO,Central Cee,0.735,0.449,-9.933,0.383,0.859,0.0,0.213,0.514,146.016,3zkyus0njMCL6phZmNNEeN,175890
Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,4iZ4pt7kvcaH6Yo8UoZ4s2,201800
Here With Me,d4vd,0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023,78Sw5GDo6AlGwTwanjXbGh,242485
10:35,Tiësto,0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,6BePGk3eCan4FqaW2X8Qy3,172253
Made You Look,Meghan Trainor,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,0QHEIqNKsMoOY5urbzN48u,134256
OMG,NewJeans,0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108,0.739,126.956,65FftemJ1DbbZ45DUfHJXE,212253
I Like You (A Happier Song) (with Doja Cat),Post Malone,0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,192841
I Ain't Worried,OneRepublic,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
I'm Not Here To Make Friends,Sam Smith,0.698,0.895,-4.439,0.0628,0.172,1.45e-05,0.409,0.838,114.914,3i0FkJYlU4MFfYkjFHXXAM,229605
Miss You,Oliver Tree,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,73vIOb4Q7YN6HeJTbscRx5,206000
Last Night,Morgan Wallen,0.517,0.675,-5.382,0.0357,0.459,0.0,0.151,0.518,203.853,59uQI0PADDKeE6UZDTJEe8,163855
Yandel 150,Yandel,0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,4FAKtPVycI4DxoOHC01YqD,216148
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0.637,0.715,-4.971,0.0455,0.148,0.0,0.0892,0.308,141.872,38T0tPVZHcPZyhtOcCP7pF,210576
Rich Flex,Drake,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360
La Jumpa,Arcángel,0.887,0.234,-14.52,0.178,0.111,0.67,0.13,0.197,140.02,2mnXxnrX5vCGolNkaFvVeM,196800
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,0.551,0.55,-5.339,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440
Lavender Haze,Taylor Swift,0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,5jQI2r1RdgtuT8S3iG8zFC,202396
Late Night Talking,Harry Styles,0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955
People,Libianca,0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791
Nobody Gets Me,SZA,0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276,99.796,5Y35SjAfXjjG0sFQ3KOxmm,180853
Something in the Orange,Zach Bryan,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013
THE LONELIEST,Måneskin,0.519,0.595,-5.001,0.0283,0.00151,0.0,0.0762,0.237,129.786,1Ame8XTX6QHY0l0ahqUhgv,247067
Bad Habit,Steve Lacy,0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115
Rush,Ayra Starr,0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093
Nonsense,Sabrina Carpenter,0.74,0.697,-4.912,0.034,0.0268,0.0,0.224,0.732,138.992,6dgUya35uo964z7GZXM07g,163648
About Damn Time,Lizzo,0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822
La Bachata,Manuel Turizo,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,5ww2BF9slyYgNOk37BlC4u,162638
Bones,Imagine Dragons,0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265
SPIT IN MY FACE!,ThxSoMch,0.73,0.785,-6.512,0.0554,0.0464,0.0216,0.111,0.649,94.094,1N8TTK1Uoy7UvQNUazfUt5,147875
Tití Me Preguntó,Bad Bunny,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,35ovElsgyAtQwYPYnZJECg,196520
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907
LLYLM,ROSALÍA,0.555,0.634,-5.522,0.273,0.129,2.32e-06,0.188,0.555,170.228,2SiAcexM2p1yX6joESbehd,174045
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,0vjeOZ3Ft5jvAi9SBFJm1j,182667
No Time Wasted (feat. Future),Polo G,0.513,0.495,-8.454,0.45,0.00642,0.0,0.3,0.105,150.035,4MUlNqSrMeFAHA6VpJKMo8,179533
Leave The Club (feat. Lil Durk & GloRilla),Don Toliver,0.747,0.701,-3.694,0.0338,0.122,0.0,0.323,0.149,104.995,1CJ8e0zc8uvAmkqdeXrq4u,162305
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,0vjeOZ3Ft5jvAi9SBFJm1j,182667
Forever (feat. Fridayy),Lil Baby,0.462,0.251,-12.072,0.159,0.414,0.0,0.201,0.137,89.705,1T4k0sw0HldDg004Kw4Oct,167977
Rich Flex,Drake,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,1bDbXMyjaUIooNwFE9wn0N,239360
Just Wanna Rock,Lil Uzi Vert,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4FyesJzVpA39hbYvcseO2d,123891
Freestyle,Lil Baby,0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,5BbdKBZO0TH0GhfxUfyhL9,162053
Slut Me Out,NLE Choppa,0.938,0.606,-6.396,0.419,0.117,0.0,0.528,0.706,121.108,5BmB3OaQyYXCqRyN8iR2Yi,123673
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,0.671,0.658,-5.567,0.309,0.189,8.66e-05,0.147,0.257,87.933,4WuOWVnAqvEQxgSRrspBgt,207307
No 808’s (feat. Vory),A Boogie Wit da Hoodie,0.609,0.503,-8.407,0.393,0.217,2.22e-06,0.121,0.502,168.363,7E68rHH6CrKbBYPfpiCLiQ,200000
Fact (feat. Lil Uzi Vert),Ghostluvme,0.779,0.684,-4.963,0.108,0.181,0.0,0.0691,0.526,124.034,5ht9obvnnWeW4eoRtPAoQD,174240
Mad Max,Lil Durk,0.898,0.64,-8.796,0.255,0.0212,0.0,0.0919,0.68,149.988,2i2qDe3dnTl6maUE31FO7c,153600
No Role Modelz,J. Cole,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,0.494,100.028,68Dni7IE4VyPkTOH9mRWHr,292799
HO4ME,DJ Drama,0.511,0.541,-10.1,0.421,0.0769,0.0,0.1,0.248,101.228,7hrcHfHWaLhooHzGltlCYB,235711
Me & You,Central Cee,0.603,0.667,-8.716,0.367,0.0861,0.0,0.0745,0.655,141.561,12Us8e6NFesdkXKf4StU1I,186697
King Snipe,Gucci Mane,0.818,0.526,-8.078,0.277,0.0103,0.0,0.146,0.531,125.061,0UMqDSXk4xvoCNRrIEPf7T,214594
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,0.684,0.671,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048,2Hh3ETdQKrmSI3QS0hme7g,199920
23,NLE Choppa,0.852,0.487,-7.991,0.204,0.00424,2.18e-06,0.201,0.256,120.013,0T0vseuNB4KC8opkrCLNbc,261825
Hanging With Wolves,Lil Durk,0.823,0.636,-7.239,0.0612,0.0168,0.0,0.108,0.5,151.978,1a7tOEheXeaSNathZW4Gzk,205893
Hell Yeah,SoFaygo,0.696,0.708,-4.737,0.0438,0.000113,0.0,0.444,0.287,142.026,3QHGfxhjexLaMKGHXagfRs,168161
Do It Again (feat. 2Rare),NLE Choppa,0.806,0.64,-7.398,0.317,0.0864,0.0,0.201,0.716,160.054,5gAwpwuchaCGnJLlBMGBzp,213206
Players,Coi Leray,0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,6UN73IYd0hZxLi8wFPMQij,139560
In Ha Mood,Ice Spice,0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.059,0yUaLqhsVsguBpoOPL4cO7,129362
Pussy & Millions (feat. Travis Scott),Drake,0.749,0.63,-6.652,0.116,0.0623,0.0,0.353,0.445,122.03,2KLwPaRDOB87XOYAT2fgxh,242027
My All,Polo G,0.493,0.613,-6.636,0.414,0.0393,0.0,0.128,0.373,156.104,2UQ2oUbHiB8wWYCE42JX0k,197692
"One Mic, One Gun",Nas,0.756,0.916,-2.692,0.207,0.0351,0.0,0.241,0.458,149.961,7CpXFEjLntpr4GdOhTtFEv,169693
Quickie,Moneybagg Yo,0.87,0.506,-9.415,0.432,0.0901,0.0,0.145,0.347,137.921,3084aAzars6DR26nCWO9Ep,187826
Self Esteem (featuring NLE Choppa),Lambo4oe,0.366,0.699,-7.468,0.0564,0.0135,0.0,0.135,0.062,97.201,1hnNjI1da0xqGhR81JFVdx,169500
2 Million Up,Peezy,0.884,0.423,-10.181,0.275,0.115,0.0,0.0895,0.259,95.753,5JS1gz9zP4GTy0LZYvSeUK,159973
Twin (feat. Lil Durk),Roddy Ricch,0.785,0.609,-8.623,0.186,0.031,5.47e-05,0.096,0.326,83.962,5B40Td13cDQ4adeAiLf8Z4,148855
Water (Drowning Pt. 2) [feat. Kodak Black],A Boogie Wit da Hoodie,0.855,0.603,-5.488,0.284,0.0392,0.0,0.105,0.494,129.976,6yDPFrHZLQbQa9Itd2J4Gp,206769
KNIGHT CRAWLER (feat. Juice WRLD),Trippie Redd,0.679,0.769,-3.539,0.24,0.0537,0.0,0.309,0.424,130.094,3fNMgjG8yXaSam46swhz7w,177231
Internet Trolls,GloRilla,0.765,0.882,-3.392,0.414,0.0432,0.0,0.353,0.439,166.784,5c2IvJeaFx4m2DmOR1iryD,140573
Blessing,Lil Tecca,0.703,0.636,-8.652,0.177,0.338,0.0,0.0981,0.496,132.986,6DswwzQlABrNoqjNydtvuX,144594
If You Still Wit Me (feat. Lil Baby),Finesse2tymes,0.519,0.766,-6.519,0.345,0.0906,0.0,0.287,0.449,100.281,4EvFzNPsp8iyiEO9LDHopv,128000
Love For The Streets,Young Dolph,0.799,0.733,-6.234,0.216,0.172,1.7e-05,0.332,0.753,146.051,7k5lDslyLbcykzUOPGEdKR,185280
"Hey, Mickey!",Baby Tate,0.912,0.507,-11.952,0.0587,0.579,0.0,0.167,0.725,134.978,3RKjTYlQrtLXCq5ncswBPp,115556
Torpedo,Rae Sremmurd,0.84,0.63,-5.671,0.0579,0.000502,0.00136,0.128,0.14,123.994,5R5UNKWsmMPpFq5JHK93Fw,240968
Conceited (feat. Lola Brooke & Maiya The Don),Flo Milli,0.94,0.761,-4.408,0.0979,0.0741,1.89e-05,0.59,0.414,118.027,53acd3PVcgGCux58YABBr5,195254
Don't Play With It (feat. Billy B),Lola Brooke,0.763,0.726,-5.61,0.109,0.00377,0.0,0.0719,0.327,99.042,6aGpM4DXts4pdRhVKbRYuk,131053
